Timestamp,Channel,Message
2019-03-30 13:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 13:00:00,/SmartHome/data/sensor,testfile/638
2019-03-30 13:14:25,/SmartHome/watering_array_v4/device,
2019-03-30 13:14:25,/SmartHome/44/device,
2019-03-30 13:14:25,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 13:24:00,/SmartHome/watering_array_v4/pump/3,on
2019-03-30 13:24:00,/SmartHome/watering_array_v4/pump,3_on
2019-03-30 13:24:01,/SmartHome/watering_array_v4/pump/1,on
2019-03-30 13:24:01,/SmartHome/watering_array_v4/pump,1_on
2019-03-30 13:24:32,/SmartHome/watering_array_v4/pump/3,off
2019-03-30 13:24:32,/SmartHome/watering_array_v4/pump,3_off
2019-03-30 13:27:48,/SmartHome/watering_array_v4/pump/1,off
2019-03-30 13:27:48,/SmartHome/watering_array_v4/pump,1_off
2019-03-30 13:38:04,/SmartHome/watering_array_v4/plant/1,7
2019-03-30 13:38:04,/SmartHome/data/plant,638
2019-03-30 13:38:07,/SmartHome/watering_array_v4/plant/2,3
2019-03-30 13:38:08,/SmartHome/data/plant,9
2019-03-30 13:38:10,/SmartHome/watering_array_v4/plant/2,3
2019-03-30 13:38:10,/SmartHome/data/plant,21
2019-03-30 14:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 14:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 14:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 14:00:00,/SmartHome/data/sensor,testfile/638
2019-03-30 15:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 15:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 15:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 15:00:00,/SmartHome/data/sensor,testfile/636
2019-03-30 16:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 16:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 16:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 16:00:00,/SmartHome/data/sensor,testfile/635
2019-03-30 17:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 17:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 17:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 17:00:00,/SmartHome/data/sensor,testfile/632
2019-03-30 18:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 18:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
